日本工営	誠意をもってことにあたり、技術を軸に社会に貢献する。
ダイセキ	優れた経営理念は、実績に結びつく！一つの発想が湧いてくれば、それに対して種々構想を練り、実現のための組織、その他の構造を組み立てます。そして実行に移します。
新日鉄ソリューションズ	新日鉄ソリューションズは、情報技術のプロフェッショナルとして、真の価値の創造により、お客様との信頼関係を築き、ともに成長を続け、社会の発展に貢献していきます。
コア	コアグループは、お客様に全方位展開で提供するITサービスに、信頼と安心、継続的なイノベーションとを伴わせ、存在意義あるテクノロジスト集団であり続けたいと考えております。この実現のため、企業価値増大に向けてキャッシュ・フローを確保し続け、継続的な会社の発展を推進して参りました。それとともに、創立より30年の過程において、社員一人ひとりが高い価値観と倫理観を共有し、事業を展開する諸所の法令や規範を遵守することが前提との認識を持って、ビジネスに臨んできました。コアグループは利益の追求を目標としたテクノロジスト集団であるとともに、グローバル社会の中での１つの小社会であり、人として企業としてあるべき精神的態度を備え、エクセレントカンパニーに相応しいコンプライアンス経営の実現が不可欠だと認識しております。こうした考え方の集約と表明として、2002年1月に「企業行動憲章」「企業行動基準」を制定し、これを企業行動の指針として定めました。コアグループは、このような行動の実践をコンプライアンスと認識しております。私たちは、コアグループの社員一人ひとりに広くこの考え方の浸透を促すことで、ルールの遵守とともに各人の自主性を大切にし、その総和が本当の意味での自由闊達な企業行動を醸成していくものと確信します。コアグループを代表するものとして、まず私たち両名が率先垂範することをここに宣言します。私たちのあとに続き、コアグループの全社員がコンプライアンスを自らのものとし、日々の行動実践に表していくことを願って止みません。
ＩＴホールディングス	ＩＴホールディングスグループは、ＩＴを通じた様々なサービスの提供によりリーディング企業グループにふさわしい企業市民となり、お客様、社員とその家族、株主などすべてのステークホルダーから評価いただける企業価値の向上を目指します私たちは、グループの企業と社員が共に高く新しい目標にチャレンジする活力ある企業カルチャーを醸成し成長を続けます私たちは、グループ力を結集し優れた技術力と品質により、常に最適をお客様に提供いたします私たちは、高い企業モラルを堅持し、社会的責任を果たしていきます
コーエーテクモホールディングス	当社グループは、「お客さま第一主義」の視点に立ち、卓越したアイディアと遊び心を織り交ぜた独創的なエンターテインメントの提案を行うことで、世界中の人々の明るく、楽しく、豊かな暮らしの実現に貢献することを経営の基本理念としております。また、今後大きな時代の節目を迎えるコンテンツ業界の中で、強固な地位を築くための変革を加速し、お客さまや株主の皆さまから期待と信頼を寄せられる企業として、長期安定的な発展を目指してまいります。その実現には以下の基本方針をもってあたります。
ドワンゴ	『ネットに生まれて、ネットでつながる。』
ベリサーブ	試験、検査という行為のみに留まらず、広く検査方法の検討・設計、検査結果の判定、検査方法の評価など検証にまつわるすべてを提供していく。
マクロミル	マクロミルは「企業と消費者の､より密接なコミュニケーションの実現」と「誰もが手軽に使えるマーケティングリサーチシステムの提供」を目指します。
ティーガイア	我々は、社会の夢と豊かさの実現に貢献し、「明日」に向かって「誠実」に「挑戦」し続けます。
ＧＭＯペイメントゲートウェイ	社会の進歩発展に貢献する事で、同志の心物両面の豊かさを追求する    市場を開拓・創造する強い意思と誠実かつ公明正大な事業展開により、社会の進歩発展に貢献します。    同志とは、信じあえる高潔な役職員、お客様、及びお取引いただいている事業関連者を指します。    当社役職員は、豊かな心、真の問題解決力、高い専門性を発揮し、お客様と価値の交換を行う事により、心物両面の豊かさを追求します。
ザッパラス	「個」を尊重する一括りの「顧客」としてではなく、一人ひとりが違う個性であることを尊重します。顔の見えないお客様だからこそ、知り得る情報から個々の望みを推測し、興味を持っていただける商品やコンテンツをお勧めします。「なぜ私に？」に答えられるサービスを目指します。「縁」を大切にする安易な安売りやその場限りのインセンティブ、過剰なプロモーションなどによって、１度限りのお客様を増やすのではなく、価値ある商品やコンテンツを提供することで、繰り返し長く取引していただける関係づくりを目指します。「環」を創造する単に安いだけの商品ではなく、付加価値の高い商品を扱う。商品がもつ背景（ストーリー）をきちんと伝え、価値に見合った価格での販売を行うことにより、お客様・作り手、そして売り手である私たちそれぞれが満足し、次につながる商流を創造します。
インターネットイニシアティブ	IIJは、お客様と共に、新しいネットワーク社会を切り拓くことに貢献していきます。
ソネットエンタテインメント	私たちは「ネットワークを楽しくする会社」として、便利で楽しく、夢のあるネットワーク・エンタテインメントをみなさんに提供していきたいと考えています。
ＳＲＡホールディングス	SRAグループは創業以来「自らの職業的実践を通じ、コンピュータサイエンスの諸分野を発展させ、それによって人類の未来に貢献する」という企業理念に基づき、グループ各社の得意分野を活かしつつ、 ITによる社会変革・未来発展に貢献しています。 
ＪＢＩＳホールディングス	1. 金融・証券・公共・産業・文教といった全ての分野における重要なインフラを
担うという社会的使命にコミットします
2. お客様第一主義の徹底によって、お客様の立場に立った使い易いソリューション・
サービスをタイムリーに提供します
3. 常に最先端のソリューション・サービスを追及し、幅広いビジネスパートナー
と協業する開かれた企業集団となります
4. 社内改革を推進し、経営の安定と継続的成長に基づく企業価値向上に努めます
朝日ネット	交流と創造
パナソニック電工インフォメーションシステムズ	私たちは、ユーザーフレンドリーの追求、ハイテク・マインドの徹底、チャレンジ精神とスピード感あふれる行動により、新しい価値の創造に邁進します。
フェイス	「オーダーメイドシステムならフェイス」そう呼ばれるために、私たちは常にお客様のニーズに応える新しいサービスを提供してまいります。世界初の相性保証やシステムの永久アップグレード保証は、お客様の声から生まれたフェイスのオリジナルサービスです。お客様の立場に立って物事を考える。簡単そうでいて、とても難しいことに私たちは取り組んでいきます。 
野村総合研究所	NRIグループは、「使命」「事業ドメイン」「経営の目標」「行動指針」の4つを柱とした企業理念を掲げています。
サイバネットシステム	私たちは高付加価値、高品質のサービスをもって、満足度の高い“ソリューション”を提供し、顧客と社会の発展に寄与する。
インテージ	地球社会の明日を拓く「知」の創造
シンプレクス・テクノロジー	「イノベーションを世界へ」
ソースネクスト	ソースネクスト株式会社 最高戦略は、コーポレイト・アイデンティティの確立のため、弊社が目指す未来永劫、不変の企業目標として、1997年に明文化、制定したものです。あらゆる機会を通じて社内で共有を図り、その実現を目指しています。
クレスコ	　私たちは「メインＩＴソリューション・パートナーを目指す」こと、「ワンストップ・ソリューションを提供する」ことの２つをビジョンとして掲げ、将来に向け社員一丸となって精進して参ります。
フジ・メディア・ホールディングス	フジ・メディア・ホールディングスは、グループ各社がこれまでに培ってきた実績を基礎に、放送事業を中核とする幅広い分野の事業を展開する新たなメディア・グループとして、国内外から高く評価される我が国を代表する｢メディア･コングロマリット｣を目指します。
オービック	オービックは1968（昭和43）年の創業以来、特定のメーカーに偏らない独立系のマルチベンダーとして自社開発・直接販売体制にこだわり、絶えずマーケットに目を向け、お客様の声に耳を傾け、各企業のニーズに即した『価値ある情報システム』を提供してまいりました。　コンサルティングからハードウェア選定、ネットワーク環境構築、システム開発、導入時教育といった情報システムの導入のみにとどまらず、導入後の運用サポート、サプライ品の供給、法改正に関する情報提供などを含め、お客様の問題解決を長期にわたり自社一貫体制で実現する『ワンストップ・ソリューション・サービス』は、当社の一貫したビジネスモデルであります。
ティーディーシーソフトウェアエンジニアリング	TDCソフトは、『需要創造企業』として、全社員が「顧客起点」のスタンスに立ち、戦略性かつ創造性に富んだ発想と高い技術力をもってお客様の満足する高品質なサービスを提供するとともに、便利で安全な社会の実現に貢献してまいります。
ヤフー	たとえばあなたが、何かを探したくなったとき、誰かと話をしたくなったとき、何かを伝えたくなったとき、何かが欲しくなったとき。そして、日々の暮らしのなかで、のんびりとながめてみたり、新しい発見をしたり、思いっきり楽しんでみたり。 何をするにも、いつもそこにYahoo! JAPAN。 あなたの生活をより豊かに、便利に、価値あるものへと推進する「ライフ・エンジン」をYahoo! JAPANは目指していきます。
トレンドマイクロ	安全という安心を、すべての人へ。インターネットのある生活は、いまや当たり前となりました。しかし、インターネットを安心して使える社会は、決して当たり前とは言えません。情報社会の脅威から個人・企業を守る高い技術と豊富な実績をもつトレンドマイクロ。私たちは、あらゆる力を集約して脅威に立ち向かい、安全なネットワーク社会を実現していきます。
日本オラクル	「日本オラクル株式会社（以下、「当社」という）は、IT業界をリードする会社として、「データの価値を知として最大化させ、豊かな情報社会を実現する」
アルファシステムズ	人の和、人と人との相互信頼、そして優れた技術人の和、人と人との相互信頼、そして優れた技術。アルファシステムズは、「和・信頼・技術」をモットーに、豊かな人間性と高い技術の融和を目指し躍進を続けます。
フューチャーアーキテクト	フューチャーのミッションは、お客様の未来価値の最大化です。そして、｢お客様の成功をコミットすること｣＝「フューチャーの企業価値向上へのコミット」です。変化の激しい時代においては、競争相手よりきめ細かい神経網を張りめぐらせると同時に、より高度な情報察知能力を駆使して変化を分析し、仮説立案と検証によりさらに進化した行動を継続して起こし続けた者こそが勝者になれると確信しています。そのためには、最先端のテクノロジーを経営戦略やお客様サービスの現場に活用し、「変革」を先取りしてタイムリーに対応することが不可欠です。私どもは、そういった新しい時代の新しい軍師になりたいと考えています。 
シーエーシー	お客様の信頼が第一情報システム／ネットワークシステムの分野で、常にお客様の立場に立った最適なソリューションを提供し、高い顧客満足度を追求します。向上心こそ会社発展の推進力社員一人一人は自分の成長と会社の発展の為に日々向上心を持って行動します。会社は個人の素質を活かし、能力を最大限に発揮できる環境と機会を提供します。オープンでフェアな企業活動関係法令を遵守し、企業倫理及び社会常識に則って行動します。
トーセ	トーセは、設立以来、「縁の下の力持ち」を合言葉に、主力である家庭用ゲームソフトの企画・開発、近年発展が目覚しいモバイル・コンテンツの企画・開発等の業務を、ゲームソフトメーカーや玩具メーカー等のクライアントから受託し、数多くのコンテンツを提供しております。トーセは、これまで培ってきた技術やノウハウを発展させ、時代の変化に対応した、人々に親しまれるコンテンツやサービスの供給を続け、次世代の総合エンターテイメント産業のサポート役を担ってまいります。
オービックビジネスコンサルタント	当社は、「自由と公平」「採用と教育」「革新と戦略」を基本方針とし、多様なIT（情報技術）とお客様の満足を徹底的に追及する「顧客第一主義」の思想をプロダクト（商品）開発に貫き、保守・導入指導等のサービスを提供しております。
日立ビジネスソリューション	当社は、「技術力とスピード」を信条として、お客様に満足をお届けできる「トータルソリューションプロバイダー」であり続けたいと考えております。そのために、長年にわたり蓄積してきた高度なソフトウェア技術力と業務ノウハウをベースとして、さらに総合力強化を目指して、一人二役以上をこなせるマルチタレントSE（Systems Engineer/Software Engineer/Sales Engineer）をはじめとした、各種の人材育成施策を展開しております。
伊藤忠テクノソリューションズ	伊藤忠グループは、個人と社会を大切にし、未来に向かって豊かさを担う責任を果たしていきます。
アイティフォー	アイティフォーは、最新の情報技術力とシステムズインテグレータとしての豊富な経験を活かし、お客様に最適なソリューションと最高のサービスならびに最高の満足を提供することを通じ、社会の進歩発展に貢献して参ります。
東計電算	通信やコンピュータの急速な発達により、経済社会が情報産業に求める機能は変化し、また多様化しています。私共、株式会社東計電算は、創業以来約30年にわたり、時代が情報産業に求める情報化ツールを提供せんと努力して参りました。現時点で、当社では次の三分野をコア・ビジネスとして位置づけています。
エックスネット	アプリケーションをサービスとして提供する「サービス型のビジネスモデル」は引続き維持し、中長期的にはグループとのシナジー効果を発揮すべく業務を進めていく方針です。
大塚商会	お客様の目線で「ITでオフィスを元気にする」を実践し、信頼に応え続けていきます。
サイボウズ	サイボウズは、多くの人々の生活がより豊かになるために新たな価値を創造することを目指しています。「情報サービスをとおして世界の豊かな社会生活の実現に貢献する。」このサイボウズのゴールを実現するために、社員一人一人が役割を遂行するうえでの行動指針を定め、日々の業務で実践をこころがけています。
ソフトブレーン	TO BE OPEN TO CHANGE - 変化にオープンであれ1.ソフトブレーングループは常に変化を迎え入れる。2.ソフトブレーングループは株主のものであり、社員と顧客のためにある。3.ソフトブレーングループは地域社会に貢献しつつ、人種、性別などの相違を乗り越えた普遍価値を共有する。4.ソフトブレーングループは事実に基づき、本質を追求する。
アグレックス	アグレックスは、人とITのチカラでお客様の価値創造を支援し、豊かで活力ある社会の実現に貢献します。
ウェザーニューズ	スタッフ全員の力を集結させることにより大堅企業として、無常識なイノベーションとレボリューションをもって「サポーター価値創造」を実現することが最高の経営理念である。
ＣＩＪ	情報技術で人と社会にやさしい未来を創造します私たちCIJは、誰にでも使える利便性の高いシステムや製品を提供します暮らしやすい未来社会の実現に貢献することを追求します
コロムビアミュージックエンタテインメント	私たちは、人々の心に残る音楽を創り届けることによって、すべての株主、顧客、そして我々自身のために普段の価値を創造し続けます。
ネットワンシステムズ	「すべてのステークホルダーから信頼され支持される企業」になること。それが私たちのゴール、アドマイヤード・カンパニーです。お客様、パートナー、株主、社員への責任を果たし、ICT市場、市民社会、地球環境への貢献を怠らないことによって、初めてアドマイヤード・カンパニーになることができると、私たちは考えています。また、自己の判断ではなく、第三者が認めてこそ真のアドマイヤード・カンパニーになることができます。ステークホルダーの皆様から最高の評価を頂けるよう、熱意をもって不断の努力を続けてまいります。
アルゴグラフィックス	当社は常に高付加価値ソリューションをご提供し、お客様に満足していただき、「信頼」されるテクニカル・ソリューション・プロバイダーでありたいと決意しております。今後も大きく変化し続ける環境に敏感に対応し、お客様からの様々なご要望にお応えできる高技術者集団として、お客様のビジネス基盤の強化と企業経営の変革実現に貢献できるよう最善の努力をしてまいります。
エイベックス・グループ・ホールディングス	当社は、エンタテインメントを通じてお客様の生活に豊かな彩りを添える「感動価値創造企業」を目指し、グループ一丸となって邁進してまいりますので、皆様のご支援・ご鞭撻をお願いいたします。
日本ユニシス	「U&U（Users & Unisys：顧客第一主義）」
富士通ビジネスシステム	富士通マーケティングは、常にお客様の視点に基づいて革新的で最適なソリューションを創出し、お客様のベストパートナーとして、ともに、創造性あふれる未来に貢献します。
東京放送ホールディングス	TBSグループは、役員社員ともにオールTBSの精神の下、放送事業を中核とした企業価値の向上とブランド力の強化に努め、情報・娯楽から生活・文化に至るまで「人の心を大切にする最良のメディアグループ」を目指してまいります。ぜひご期待ください。 
日本テレビ放送網	    (1)日本テレビグループが総合力を結集し、常に新しい試みにチャレンジして、優良な番組・コンテンツを創り続ける。    (2)日本テレビグループは、視聴者からの信頼を保ちながら、豊かな感性や先進性を発揮し業界ＮＯ.１を目指す。    (3)日本テレビグループ各社は、コストセンターとプロフィットセンターとしての役割と事業分野を明確にし、各分野で最高の専門性を持った制作集団を形成する。
テレビ朝日	社会の一員として新しい出会いと感動を提供し夢や希望を持ち続けられる社会の実現に貢献します
テレビ東京	｢コンテンツ制作力を核とした最良・最強のメディア集合体になること｣、｢放送の公共的使命を全うし、責任あるメディアとして文化の創造に貢献すること｣
スカパーＪＳＡＴホールディングス	常にパイオニア精神を持ってサービスの向上を図り、豊かな生活の創造に貢献する
アイ・ティー・シーネットワーク	「人間尊重」の経営を標榜し、個の「価値」、会社の「価値」を高め社会に貢献する。
イー・アクセス	すべての人に新たなブロードバンドライフを。
ＮＥＣモバイリング	NECモバイリングは、モバイル・マルチメディアをとおして、世界の人々が、いつでも、どこでも相互に理解を深め、個性を十分に発揮し合う活き活きした社会の実現に貢献します。
日本電信電話	「サービス創造グループを目指して」に基づき、ブロードバンド・ユビキタスサービスの拡大に引き続き取り組みました。
ＫＤＤＩ	多様な価値観と企業風土を持った複数の企業の合併・統合を経て、今日に至るKDDI。多様な価値観を否定することなく、それぞれの企業文化を融合してその強みを発揮するためには、全役員・従業員が認識・理解できる基本理念を持つことが大切です。お客さま、従業員、株主、取引先、社会、すべてのステークホルダーのために――。KDDIは、以下の4つの基本理念を希求して企業活動を進めてまいります。
光通信	光通信グループは、ディストリビューター企業として、日々創出される商品やサービスをいち早くお客様にご紹介し、普及させること、ひいては、企業活動を通してお客様・株主様・従業員など、関わるすべての人（ステークホルダー）に貢献することを企業理念に掲げています。
エヌ・ティ・ティ・ドコモ	私たちは「新しいコミュニケーション文化の世界の創造」に向けて、個人の能力を最大限に生かし、お客様に心から満足していただける、よりパーソナルなコミュニケーションの確立をめざします。
ＧＭＯインターネット	インターネットの産業の中で圧倒的一番になる。幸せになろう、成功しよう、一番になろう。私たちにとっての幸せとは、心の平和、満足感、目標を達成した時の喜び......
学習研究社	私たち学研グループはすべての人が心ゆたかに生きることを願い今日の感動・満足・安心と明日への夢・希望を提供します。
ゼンリン	知・時空間情報の創造により人びとの生活に貢献します
ゼンリンはインフォメーション・デザイナーとしてあらゆる活動に役立つ情報を提供します
昭文社	明日、どこ行く？家族で海に出かけたり恋人をドライブに誘ったり仲間と山に登ったりおいしいものを食べに行ったり夏休み ひとり旅してみたり出張でホテルに泊まったり新しい街に引っ越したりおでかけ ワクワク MAPPLE。
角川グループホールディングス	読者の知的好奇心に応え独創的なコンテンツを創り出すこと。多くのファンに支えられる作品を生み出すこと。
インプレスホールディングス	面白いことを創造し、知恵と感動を共有する。
アイネット	当社は、情報処理サービス業の一翼を担う企業として、お客様に最適なビジネス・ソリューションを提供します。　一方で情報インフラの提供をはじめとして、社会に貢献することを基本方針としております。 　 
松竹	日本文化の伝統を継承、発展させ、世界文化に貢献する。時代のニーズをとらえ、あらゆる世代に豊かで多様なコンテンツをお届けする。
東宝	朗らかに、清く正しく美しく
東映	当社及び当社グループの企業価値の源泉は、まさしく良質のコンテンツを製作し、提供し続けることにあります......
葵プロモーション	私たちは映像制作を通じ、すべての人々と喜びを分かち合い、ひろく経済、情報、文化に貢献する企業を目指します。
エヌ・ティ・ティ・データ	NTTデータグループは、情報技術で、新しい「しくみ」や「価値」を創造し、より豊かで調和のとれた社会の実現に貢献する。
ＤＴＳ	私たちは、未来に向かって挑戦する「バリュー・ソリューション・プロバイダー」です
スクウェア・エニックス・ホールディングス	最高の「物語」を提供することで、世界中の人々の幸福に貢献する。
シーイーシー	「ITエキスパート集団として成長を続け、顧客・社会に貢献する」
日立ソフトウェアエンジニアリング	当社は、これまで培ってきたシステム構築力、海外オフショア開発の活用を含めたプロジェクトマネジメント力、業種・業務ノウハウを結集することで、お客様の経営課題解決に向け、システムの提案から構築、運用、保守にいたるITライフサイクルにおいて価値あるワンストップサービスを提供するとともに、お客様にとって価値の高い製品・サービスの提供にも一層努めてまいる所存です。
カプコン	当社は、ゲームというエンターテインメントを通じて「遊文化」をクリエイトし、多くの人に「感動」を与えるソフト開発をメインとする「感性開発企業」を基本理念としております。また、株主、顧客および従業員の満足度向上や信頼構築に努めるとともに、共存共栄を基軸とした経営展開を図ってまいります。
ジャステック	マンパワーリースを排除したソフトウェア開発および販売を専業とし、関連業務の多角化でなく開発分野の総合化を図り、情報社会に貢献する。ソフトウェア市場の確立のために、顧客の啓蒙と開拓に先導的役割を果たす......
住商情報システム	 高度な情報技術にもとづき新たな価値を創造し、豊かな社会の実現に貢献する。 
ＣＳＫホールディングス	CSKグループは、お客様に必要とされる最適なサービスを提供し続けることが当社の使命と考え、当社グループの３つの事業を連携・融合した独自のサービス提供により、お客様のビジネス革新に貢献してまいります。 
日本システムウエア	当社の企業理念“Humanware By Systemware”には、「優れたシステムにより、人間社会を豊かにしたい」という想いを込めております。これからも当社が持つ技術や知識、創造性などを最大限に活かし、常に新しい時代のニーズと、お客様ならびに株主の皆様、そして社会の信頼に応える「価値あるシステムウエア」を創造してまいります。
日立情報システムズ	当社は、人の持つ無限の可能性を信じ、人間性尊重の土壌の上にその有する能力を余すところなく開花せしめ、かつ業界の先駆的企業としての誇りを堅持し、優れた技術・製品・サービスの開発を通じて社会に貢献することを基本理念とする。あわせて、当社は、企業が社会の一員であることを深く認識し、正道と基本に則り、公正かつ透明な企業行動に徹するとともに、環境との調和、積極的な社会貢献活動を通じ、良識ある市民として真に豊かな社会の実現に尽力する。
アイネス	人間が、ビジネスや生活をつうじて生み出す膨大で複雑な情報。その情報を受信、蓄積、編集して、発信を代替えし、支援する情報システム。情報システムには、今日の社会が、人間の営みがリアルに映し出されます。社会が、人間の営みが、変化し、進化する時、それを支えるシステムも、同じ速度で変化し、進化しなければならないと、アイネスは考えます。情報システムに完成はありません。お客さまに最適なシステムを、最高のパフォーマンスでお使いいただくこと。それは、情報システムを常に成長・進化させること。お客さまと長くお付き合いし、お客さまとともに成長する。 これが、アイネスらしさです。
ＴＫＣ	当社は、「自利利他」を社是とし、「顧客への貢献」を経営理念として、会社定款(第２条)に定める事業目的に従って経営を展開してきております。この基本方針は創業(昭和41年)以来のもので、その後の業容の拡大に伴い、これを補完する事業目的が追加されましたが、経営の基本方針は変わっていません。
富士ソフト	New answer is here　新たな市場を創造する独自の技術力で、ユビキタス＆クラウド時代にユニークなＩＴ（こたえ）を。
ソラン	ビジネスの全領域で、信頼のあるパートナーとして常に顔の見えるサービスを提供したいから
日本システムディベロップメント	ＮＳＤグループは、社員・お客様・株主の皆様との共存共栄を企業活動の原点として、常に最先端のＩＴ技術を探求し、人や社会に役立つソリューションの創造･提供を通じて、社会の健全な発展に積極的に貢献します。
コナミ	私たちコナミグループは、『価値ある時間』の創造と提供を通して、常に期待される企業集団を目指します。カスタマー・イン (Customer-Oriented)お客様を第一に考えて、行動しよう......
ＪＢＣＣホールディングス	「ITの可能性を、経営の可能性に。」目指すはベスト・サービスカンパニーCSR 基本理念ＪＢグループはベスト・サービスカンパニーとして、良き企業市民を目指し、社会および環境との調和を図ります。「CSR基本理念・実施方針」行動規範「自らマインド」自らベストを考え自ら行動をおこす「ＪＢグループ行動基準」
ソフトバンク	「デジタル情報革命を通じて、人々が知恵と知識を共有することを推進し、企業価値の最大化を実現するとともに人類と社会に貢献する」
